ID;Nom usuel
38269001;La Mure
38275001;Serre-nerpol
38299001;Pellafol-chaneaux
38315002;Pont-de-beauvoisin
38366001;St-baudille
38375001;St-christophe
38384001;Grenoble-st Geoirs
38442001;Grande-chartreuse
38522001;Valjouffrey
38538002;Grenoble - Lvd
38548001;Villard-de-lans
39013002;Arbois
39013004;Arbois_sapc
39050001;Besain
39085002;Cerniebaud
39086001;Cernon
39097003;Champagnole
39156001;Cogna
39159002;Colonne
39198001;Dole
39235001;Fraisans
39275004;Lamoura
39362001;Lons Le Saunier
39413001;La Pesse
39420001;Pimorin
39470001;Les Rousses
39478004;St Claude
39485002;St Julien - Sa
39522001;Supt
39526003;Tavaux Sa
40001001;Aire Mestade
40002002;Amou Lateoulere
40022002;Bahus Fleton
40031001;Begaar
40037001;Benquet
40048001;Boos
40088001;Dax
40117001;Grenade-sur-ad
40150001;Leon
40167001;Luxey
40168001;Magescq
40192001;Mont-de-marsan
40218002;Parleboscq
40224002;Peyrehorade Ler
40227001;Pissos
40245004;Roquefort
40246001;Sabres Lepa
40246003;Sabres
40272001;St Martin Hinx
40276001;St Michel Escalus
40304001;Soorts-hossegor
41050002;Cheverny
41075002;Droue
41075003;Droue - Morache
41097001;Romorantin
41106001;Lamotte-beuvron
41221001;St-leonard-en-b
41242001;Selles-sur-cher
41243001;Selommes
41256002;Theillay
41281001;Blois
42005001;St Etienne-boutheon
42018001;Bessey
42019002;Boen-lign - Man
42019004;Boen Sur Lignon
42023003;Bg-argent - Man
42023004;Bourg-argental
42032001;Cellieu
42040001;Col De La Loge_sapc
42052002;Charlieu
42059001;Chazelles-lyon
42094001;Feurs - Man
42095001;Firminy
42098001;Fourneaux
42102001;Grammond - Man
42102002;Grammond_sapc
42128001;Machezal
42152001;Nandax
42163001;La Pacaudiere
42168004;Cret-de-oeillon
42170001;Perreux
42184001;Riorges - Man
42184002;Riorges
42193001;Rozier-en-donzy
42199002;St-andre-apchon
42204002;St-bonnet-le-chateau_sapc
42215001;St Denis De Cab
42218001;St-etienn - Man
42218007;St-etienn - Met
42230001;St Germain Lava
42257002;St-martin-d'est
42272001;St Pierre De Bo
42299001;Savigneux
42306001;Tarentaise
42328001;Verrieres En Fo
43003001;Allegre
43014001;Autrac
43015001;Auvers
43020002;Bas-en-basset
43040001;Brioude
43046001;Le Puy-chadrac
43062001;Le Puy-loudes
43067001;Chavaniac-lafa
43091002;Estables.sa
43093001;Felines_sapc
43095001;Fix-st-geneys
43096001;Fontannes
43111002;Landos-charbon
43130002;Mazet-volamont
43132002;Mazeyrat D'al
43137003;Monis-sur-loi-sa
43150001;Le Pertuis_sapc
43157004;Puy-ville
43200001;St-julien-chap
43212001;St-pal-en-chale
43215001;St-paul-de-tart
43223001;St-romain-lacha
43234001;Saugues
43234005;Saugues-sa
43241002;Solignac-sur-lo
43246001;Tiranges
43268005;Yssingeaux Lep
44003001;Ancenis
44015001;Blain
44020001;Nantes-bouguenais
44051002;Derval
44069002;Guerande
44070001;Haie-fouassiere
44072002;Herbignac
44103001;St Nazaire-montoir
44110002;Nort-sur-erdre
44131001;Pornic
44168001;Saint-joachim_sae
44184001;Pte De Chemoulin
44199002;Soudan
45004001;Amilly
45030002;Beaune-la-rol.
45040001;Bonny-sur-loire
45055001;Orleans
45069001;Chambon-la-f.
45096001;Les Choux
45108001;Coullons
45147001;Fleury-les-aub.
45178001;Ladon
45182001;Ligny-le-r.
45188001;Loury
45200001;Menestreau-en-v
45229001;Nogent-sur-v.
45253001;Pithiviers-le-v
45270002;St-benoit/loire
45282001;St-hilaire-st-m
45330001;Trinay
45340001;Villemurlin-peupliers
46005001;Anglars
46066001;Cazals - Dde
46083001;Cressensac
46127001;Gourdon
46160001;Latronquiere
46197002;Le Montat
46201001;Montcuq - Rouil
46268001;St Gery
46311001;Sousceyrac
47041001;Bruch
47048001;Cancon
47084001;Douzains
47086001;Duras
47091001;Agen-la Garenne
47095001;Fauillet
47123001;Lacapelle-biron-pailloles
47137003;Laplume
47213001;Prayssas
47221001;Reaup
47252002;Sainte-livrade-sur-lot
47252003;Sainte-livrade - M
47254001;Saint-martin-curto
47317002;Verteuil
48004001;Altier
48020003;Bassurels
48027003;Le Bleymard_sapc
48051002;Le Collet-sauveplane
48060001;Fau De Peyre
48061002;Florac
48070004;Grandrieu
48074003;Hures-la-parade
48094001;Le Massegros
48095004;Mende-ville
48096004;Meyrueis-frepes
48103001;Montrodat
48104002;Nasbinals
48105001;Naussac
48110001;Paulhac En Margeride_sapc
48116001;Le Pont-de-montvert
48132001;St Alban Sur Limagnole
48140003;St Chely-d Apcher
48176002;St Pierre-des-tripiers
48198001;Villefort
49020001;Beaucouze
49022001;Beaulieu-s-lay
49027001;Begrolles
49029001;Blaison-gohier
49099003;Cholet
49188001;Marce
49215001;Mont.-bellay
49216001;Montreuil Sur Loir
49244001;La Pommeraye
49281001;St Georges Gard
49328001;Saumur
49331002;Segre
50074001;Brecey
50082001;Bricquebec
50139001;Conde Sur Vire_sapc
50144001;Coulouvray-boisbenatre
50147001;Coutances
50209001;Gonneville
50409001;Pont-hebert
50410003;Pontorson
50484002;St-hilaire-du-h
50509002;Ste Marie Du Mo
51029003;Avize
51079001;Bouzy-civc
51111001;Chambrecy-civc
51183001;Reims-courcy
51237001;Esternay-man
51237002;Esternay
51242001;Fagnieres-inra
51262001;Frignicourt
51545001;Sommesous
51612002;Vertus
52023002;Auberive_sapc
52061002;Bourdons_sapc
52084002;Busson_sapc
52121007;Chaumont
52123003;Chevillon_sapc
52131002;Cirfontaines_sapc
52145001;Coublanc
52180002;Droyes
52197003;Fayl-billot_sapc
52248002;Is-en-bassigny
52253001;Juzennecourt
52269001;Langres
52332001;Val-de-meuse
52448001;St-dizier
52535001;Villiers-le-sec
53007001;Argentre
53077001;Cosse-le-vivien
53084001;Craon
53094001;Laval-entrammes
53096004;Ernee
53097001;Evron
53129001;Launay-villiers
53130008;Laval-etronnier
53147001;Mayenne
53185001;Pre-en-pail_sapc
53220001;Saint-georges-l
53233001;St-loup-du-dorat
53238002;St-mars/la-futa
53273001;Villiers-charle
54040001;Badonviller
54405001;Nancy-ochey
54463001;Toul - Rosieres
54526001;Nancy-essey
54582001;Villette
55043001;Verdun
55179001;Erneville Aux B_sapc
55431001;Richecourt
55484001;Septsarges
55533001;Vaucouleurs
56004001;Arzal
56007001;Auray
56009001;Belle Ile-le Talut
56017003;Bignan
56018001;Billiers
56034002;Carnac
56069001;Ile De Groix
56075001;Guer
56081001;Guiscriff
56105001;Lanvenegen
56106001;Larmor-baden
56112002;Lizio
56127001;Mauron
56140001;Moreac
56159001;Pleucadeuc
56165003;Ploermel
56178003;Pontivy
56184001;Questembert
56185001;Lorient-lann Bihoue
56186002;Quiberon
56206001;St-ave
56221001;St-jacut-les-pins
56240003;Sarzeau Sa
56243001;Vannes-sene
56251001;Theix
